,Insult,Date,Comment,tokenized_sents,stemmed,replaced stemmed
24,0,,to all those doomandgloomers the chickenlittles who claim the sky is falling and that society is collapsingcanada has had gay marriage nationwide for years where is the disaster where is the collapse and the persecution youre shouting about where is it please show us some examples because its starting to look like your threats and fears and warnings are nothing but hot air,"['doomandgloomers', 'chickenlittles', 'claim', 'sky', 'falling', 'society', 'collapsingcanada', 'gay', 'marriage', 'nationwide', 'years', 'disaster', 'collapse', 'persecution', 'youre', 'shouting', 'please', 'show', 'us', 'examples', 'starting', 'look', 'like', 'threats', 'fears', 'warnings', 'nothing', 'hot', 'air']","['doomandgloom', 'chickenlittl', 'claim', 'sky', 'fall', 'societi', 'collapsingcanada', 'gay', 'marriag', 'nationwid', 'year', 'disast', 'collaps', 'persecut', 'your', 'shout', 'pleas', 'show', 'us', 'exampl', 'start', 'look', 'like', 'threat', 'fear', 'warn', 'noth', 'hot', 'air']","['doomandgloom', 'chickenlittl', 'claim', 'sky', 'fall', 'societi', 'collapsingcanada', 'gay', 'marriag', 'nationwid', 'year', 'disast', 'collaps', 'persecut', 'your', 'shout', 'pleas', 'show', 'us', 'exampl', 'start', 'look', 'like', 'threat', 'fear', 'warn', 'noth', 'hot', 'air']"
25,0,20120612144331Z,craig we have been saying from the start that this is a very entertaining showxa0 it awakens the horny little goth in mexa0 i met my boyfriend during the first season and one of the first thing we did was watch ahs at my housexa0 i know he likes me and all but to this day he is sure i am far creepier and kinkier than he could ever bexa0 thanks american horror storyxa0 sweet clam loves you,"['craig', 'saying', 'start', 'entertaining', 'showxa0', 'awakens', 'horny', 'little', 'goth', 'mexa0', 'met', 'boyfriend', 'first', 'season', 'one', 'first', 'thing', 'watch', 'ahs', 'housexa0', 'know', 'likes', 'day', 'sure', 'far', 'creepier', 'kinkier', 'could', 'ever', 'bexa0', 'thanks', 'american', 'horror', 'storyxa0', 'sweet', 'clam', 'loves']","['craig', 'say', 'start', 'entertain', 'showxa0', 'awaken', 'horni', 'littl', 'goth', 'mexa0', 'met', 'boyfriend', 'first', 'season', 'one', 'first', 'thing', 'watch', 'ah', 'housexa0', 'know', 'like', 'day', 'sure', 'far', 'creepier', 'kinkier', 'could', 'ever', 'bexa0', 'thank', 'american', 'horror', 'storyxa0', 'sweet', 'clam', 'love']","['craig', 'say', 'start', 'entertain', 'showxa0', 'awaken', 'horni', 'littl', 'goth', 'mexa0', 'met', 'boyfriend', 'first', 'season', 'one', 'first', 'thing', 'watch', 'ah', 'housexa0', 'know', 'like', 'day', 'sure', 'far', 'creepier', 'kinkier', 'could', 'ever', 'bexa0', 'thank', 'american', 'horror', 'storyxa0', 'sweet', 'clam', 'love']"
26,0,20120529025329Z,strange you are talking about that when there were chelsea fans in here belittling the community shield,"['strange', 'talking', 'chelsea', 'fans', 'belittling', 'community', 'shield']","['strang', 'talk', 'chelsea', 'fan', 'belittl', 'communiti', 'shield']","['strang', 'talk', 'chelsea', 'fan', 'belittl', 'communiti', 'shield']"
27,0,20120612052926Z,but how would you actually get the key out,"['would', 'actually', 'get', 'key']","['would', 'actual', 'get', 'key']","['would', 'actual', 'get', 'key']"
28,0,20120528193950Z,oh cool some more internet points for your collection,"['oh', 'cool', 'internet', 'points', 'collection']","['oh', 'cool', 'internet', 'point', 'collect']","['oh', 'cool', 'internet', 'point', 'collect']"
29,0,20120529230121Z,even though i think there are better coaches out there i am glad del negro is keeping his job  i never thought he got enough credit those years when he took those average chicago bulls teams he coached to the playoffs 2 years in a row,"['even', 'though', 'think', 'better', 'coaches', 'glad', 'del', 'negro', 'keeping', 'job', 'never', 'thought', 'got', 'enough', 'credit', 'years', 'took', 'average', 'chicago', 'bulls', 'teams', 'coached', 'playoffs', '2', 'years', 'row']","['even', 'though', 'think', 'better', 'coach', 'glad', 'del', 'negro', 'keep', 'job', 'never', 'thought', 'got', 'enough', 'credit', 'year', 'took', 'averag', 'chicago', 'bull', 'team', 'coach', 'playoff', '2', 'year', 'row']","['even', 'though', 'think', 'better', 'coach', 'glad', 'del', 'negro', 'keep', 'job', 'never', 'thought', 'got', 'enough', 'credit', 'year', 'took', 'averag', 'chicago', 'bull', 'team', 'coach', 'playoff', '2', 'year', 'row']"
30,0,20120611201838Z,russellpianoxa0nhmmmmhow can we spin obama honoring vietnam troops as something negativeanswer doesnt matter look at our followers theyll take anythingnn_________________________________________________________________________________________nobama team xa0hmmm how can we make the liberal messiah look better in light of the revelations of his leaking classified information to the new york timesi know lets have a bogus photo shoot at the viet nam memorial that will make obama look like he cares about vets but first well have to clear all the vets out of the immediate area because they cant be trusted,"['russellpianoxa0nhmmmmhow', 'spin', 'obama', 'honoring', 'vietnam', 'troops', 'something', 'negativeanswer', 'doesnt', 'matter', 'look', 'followers', 'theyll', 'take', 'anythingnn_________________________________________________________________________________________nobama', 'team', 'xa0hmmm', 'make', 'liberal', 'messiah', 'look', 'better', 'light', 'revelations', 'leaking', 'classified', 'information', 'new', 'york', 'timesi', 'know', 'lets', 'bogus', 'photo', 'shoot', 'viet', 'nam', 'memorial', 'make', 'obama', 'look', 'like', 'cares', 'vets', 'first', 'well', 'clear', 'vets', 'immediate', 'area', 'cant', 'trusted']","['russellpianoxa0nhmmmmhow', 'spin', 'obama', 'honor', 'vietnam', 'troop', 'someth', 'negativeansw', 'doesnt', 'matter', 'look', 'follow', 'theyll', 'take', 'anythingnn_________________________________________________________________________________________nobama', 'team', 'xa0hmmm', 'make', 'liber', 'messiah', 'look', 'better', 'light', 'revel', 'leak', 'classifi', 'inform', 'new', 'york', 'timesi', 'know', 'let', 'bogus', 'photo', 'shoot', 'viet', 'nam', 'memori', 'make', 'obama', 'look', 'like', 'care', 'vet', 'first', 'well', 'clear', 'vet', 'immedi', 'area', 'cant', 'trust']","['russellpianoxa0nhmmmmhow', 'spin', 'obama', 'honor', 'vietnam', 'troop', 'someth', 'negativeansw', 'doesnt', 'matter', 'look', 'follow', 'theyll', 'take', 'anythingnn_________________________________________________________________________________________nobama', 'team', 'xa0hmmm', 'make', 'liber', 'messiah', 'look', 'better', 'light', 'revel', 'leak', 'classifi', 'inform', 'new', 'york', 'timesi', 'know', 'let', 'bogus', 'photo', 'shoot', 'viet', 'nam', 'memori', 'make', 'obama', 'look', 'like', 'care', 'vet', 'first', 'well', 'clear', 'vet', 'immedi', 'area', 'cant', 'trust']"
31,0,20120529115214Z,a good article which for all the good it will do could have been delivered to a brick wall,"['good', 'article', 'good', 'could', 'delivered', 'brick', 'wall']","['good', 'articl', 'good', 'could', 'deliv', 'brick', 'wall']","['good', 'articl', 'good', 'could', 'deliv', 'brick', 'wall']"
32,0,,heads up warninganother source of funding for media matters is peter lewis of the progessive insurance company you know those auto insurance commercials that run every 5 minutes on cable television featuring the gal who looks like a blowup doll with red lips andxc2xa0a perfectly round mouthif you know what i meannif you have progressivexc2xa0auto insurance just know that part of your premium is going to fund a progressive liberalxc2xa0organization hell bentxc2xa0on destroyingxc2xa0our country and our free speech their mission is toxc2xa0bring downxc2xa0hannitybeckdobbslavinlimbaughboortzetc we must not let them win,"['heads', 'warninganother', 'source', 'funding', 'media', 'matters', 'peter', 'lewis', 'progessive', 'insurance', 'company', 'know', 'auto', 'insurance', 'commercials', 'run', 'every', '5', 'minutes', 'cable', 'television', 'featuring', 'gal', 'looks', 'like', 'blowup', 'doll', 'red', 'lips', 'andxc2xa0a', 'perfectly', 'round', 'mouthif', 'know', 'meannif', 'progressivexc2xa0auto', 'insurance', 'know', 'part', 'premium', 'going', 'fund', 'progressive', 'liberalxc2xa0organization', 'hell', 'bentxc2xa0on', 'destroyingxc2xa0our', 'country', 'free', 'speech', 'mission', 'toxc2xa0bring', 'downxc2xa0hannitybeckdobbslavinlimbaughboortzetc', 'must', 'let', 'win']","['head', 'warninganoth', 'sourc', 'fund', 'media', 'matter', 'peter', 'lewi', 'progess', 'insur', 'compani', 'know', 'auto', 'insur', 'commerci', 'run', 'everi', '5', 'minut', 'cabl', 'televis', 'featur', 'gal', 'look', 'like', 'blowup', 'doll', 'red', 'lip', 'andxc2xa0a', 'perfect', 'round', 'mouthif', 'know', 'meannif', 'progressivexc2xa0auto', 'insur', 'know', 'part', 'premium', 'go', 'fund', 'progress', 'liberalxc2xa0organ', 'hell', 'bentxc2xa0on', 'destroyingxc2xa0our', 'countri', 'free', 'speech', 'mission', 'toxc2xa0br', 'downxc2xa0hannitybeckdobbslavinlimbaughboortzetc', 'must', 'let', 'win']","['head', 'warninganoth', 'sourc', 'fund', 'media', 'matter', 'peter', 'lewi', 'progess', 'insur', 'compani', 'know', 'auto', 'insur', 'commerci', 'run', 'everi', '5', 'minut', 'cabl', 'televis', 'featur', 'gal', 'look', 'like', 'blowup', 'doll', 'red', 'lip', 'andxc2xa0a', 'perfect', 'round', 'mouthif', 'know', 'meannif', 'progressivexc2xa0auto', 'insur', 'know', 'part', 'premium', 'go', 'fund', 'progress', 'liberalxc2xa0organ', 'hell', 'bentxc2xa0on', 'destroyingxc2xa0our', 'countri', 'free', 'speech', 'mission', 'toxc2xa0br', 'downxc2xa0hannitybeckdobbslavinlimbaughboortzetc', 'must', 'let', 'win']"
33,0,20120620055647Z,sdnoriko lol as if capcom listens watch them fuck this up too i hope i am wrong i love okami,"['sdnoriko', 'lol', 'capcom', 'listens', 'watch', 'fuck', 'hope', 'wrong', 'love', 'okami']","['sdnoriko', 'lol', 'capcom', 'listen', 'watch', 'fuck', 'hope', 'wrong', 'love', 'okami']","['sdnoriko', 'lol', 'capcom', 'listen', 'watch', 'fuck', 'hope', 'wrong', 'love', 'okami']"
34,1,20120515132156Z,allinit123 yourxa0hypocrisyxa0is sickening you ignorant loser,"['allinit123', 'yourxa0hypocrisyxa0is', 'sickening', 'ignorant', 'loser']","['allinit123', 'yourxa0hypocrisyxa0i', 'sicken', 'ignor', 'loser']","['allinit123', 'yourxa0hypocrisyxa0i', 'sicken', 'ignor', 'loser']"
35,0,20120620011710Z,fast  furious didnt work out like they planned did itlololololololol,"['fast', 'furious', 'didnt', 'work', 'like', 'planned', 'itlololololololol']","['fast', 'furious', 'didnt', 'work', 'like', 'plan', 'itlololololololol']","['fast', 'furious', 'didnt', 'work', 'like', 'plan', 'itlololololololol']"
36,0,20120530111709Z,mitt isnt the best candidate for presidentbut going against the worstxa0candidatexa0ever should help him tremendously xa0lolxa0nnobama is one and doneit could happen no other way,"['mitt', 'isnt', 'best', 'candidate', 'presidentbut', 'going', 'worstxa0candidatexa0ever', 'help', 'tremendously', 'xa0lolxa0nnobama', 'one', 'doneit', 'could', 'happen', 'way']","['mitt', 'isnt', 'best', 'candid', 'presidentbut', 'go', 'worstxa0candidatexa0ev', 'help', 'tremend', 'xa0lolxa0nnobama', 'one', 'doneit', 'could', 'happen', 'way']","['mitt', 'isnt', 'best', 'candid', 'presidentbut', 'go', 'worstxa0candidatexa0ev', 'help', 'tremend', 'xa0lolxa0nnobama', 'one', 'doneit', 'could', 'happen', 'way']"
37,1,20120620161958Z,i cant believe the stupid people on this site that have no idea what is going onxa0 you foolsxa0 you are all useful idiotsxa0 they are hiding the truth because you fools who protect him would look like the useful idiots you are,"['cant', 'believe', 'stupid', 'people', 'site', 'idea', 'going', 'onxa0', 'foolsxa0', 'useful', 'idiotsxa0', 'hiding', 'truth', 'fools', 'protect', 'would', 'look', 'like', 'useful', 'idiots']","['cant', 'believ', 'stupid', 'peopl', 'site', 'idea', 'go', 'onxa0', 'foolsxa0', 'use', 'idiotsxa0', 'hide', 'truth', 'fool', 'protect', 'would', 'look', 'like', 'use', 'idiot']","['cant', 'believ', 'stupid', 'peopl', 'site', 'idea', 'go', 'onxa0', 'foolsxa0', 'use', 'idiotsxa0', 'hide', 'truth', 'fool', 'protect', 'would', 'look', 'like', 'use', 'idiot']"
38,1,20120609163743Z,fucking behave then you prick,"['fucking', 'behave', 'prick']","['fuck', 'behav', 'prick']","['fuck', 'behav', 'prick']"
39,0,20120619094846Z,the only other relevant fact is that he is destroying america,"['relevant', 'fact', 'destroying', 'america']","['relev', 'fact', 'destroy', 'america']","['relev', 'fact', 'destroy', 'america']"
40,0,20120609175446Z,you are a liar,['liar'],['liar'],['liar']
41,1,20120620075045Z,is that it  your sum total to any conversation is first abuse and then calling them a troll   you are a typical socialist idiot  keep up your non existent class warfare it is as pointless as you,"['sum', 'total', 'conversation', 'first', 'abuse', 'calling', 'troll', 'typical', 'socialist', 'idiot', 'keep', 'non', 'existent', 'class', 'warfare', 'pointless']","['sum', 'total', 'convers', 'first', 'abus', 'call', 'troll', 'typic', 'socialist', 'idiot', 'keep', 'non', 'exist', 'class', 'warfar', 'pointless']","['sum', 'total', 'convers', 'first', 'abus', 'call', 'troll', 'typic', 'socialist', 'idiot', 'keep', 'non', 'exist', 'class', 'warfar', 'pointless']"
42,0,20120619231647Z,beanstalk briview welp then nbw right,"['beanstalk', 'briview', 'welp', 'nbw', 'right']","['beanstalk', 'briview', 'welp', 'nbw', 'right']","['beanstalk', 'briview', 'welp', 'nbw', 'right']"
